epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11837.4,0.15077,0.47802,0.90621,0.93521,1,0.995,0.97637,0.20637,0.21687,0.72287,0.000973861,0.000973861,0.000973861
44,12111.5,0.14792,0.45491,0.90799,0.97445,1,0.995,0.995,0.13828,0.24819,0.48885,0.000957358,0.000957358,0.000957358
45,12385.3,0.14683,0.45685,0.9024,0.92395,1,0.995,0.97637,0.15124,0.2187,0.5105,0.000940855,0.000940855,0.000940855
46,12659.4,0.14684,0.45396,0.90443,0.94952,0.97638,0.995,0.95574,0.19199,0.32136,0.55021,0.000924352,0.000924352,0.000924352
47,12933.9,0.1406,0.43889,0.89664,0.81162,0.84611,0.995,0.98003,0.21237,0.4641,0.8261,0.000907848,0.000907848,0.000907848
48,13208.1,0.1399,0.44398,0.89738,0.94768,1,0.995,0.97303,0.18864,0.22542,0.67357,0.000891345,0.000891345,0.000891345
49,13482,0.14583,0.43922,0.90178,0.67504,0.97528,0.995,0.98271,0.18419,0.98826,0.66685,0.000874842,0.000874842,0.000874842
50,13755.6,0.14088,0.43615,0.90152,0.67798,0.98377,0.995,0.995,0.16294,0.81934,0.62849,0.000858338,0.000858338,0.000858338
51,14029.2,0.13629,0.42994,0.89654,0.96172,1,0.995,0.96952,0.17979,0.20112,0.60619,0.000841835,0.000841835,0.000841835
52,14303.2,0.13545,0.43603,0.89932,0.90016,1,0.995,0.95521,0.21183,0.28207,0.80595,0.000825332,0.000825332,0.000825332
53,14577.3,0.13602,0.41737,0.89586,0.87275,0.98217,0.995,0.97162,0.18635,0.32092,0.67392,0.000808828,0.000808828,0.000808828
54,14852,0.14029,0.41603,0.90085,0.79662,1,0.995,0.97861,0.16463,0.39622,0.56314,0.000792325,0.000792325,0.000792325
55,15126,0.13272,0.42229,0.89841,0.75894,0.99153,0.995,0.995,0.1617,0.35896,0.5861,0.000775822,0.000775822,0.000775822
56,15400,0.13027,0.40153,0.89758,0.85682,1,0.995,0.97637,0.14251,0.34984,0.60721,0.000759318,0.000759318,0.000759318
57,15673.9,0.12843,0.40923,0.89625,0.95318,1,0.995,0.93621,0.19838,0.17354,0.67723,0.000742815,0.000742815,0.000742815
58,15947.7,0.13002,0.41205,0.89294,0.96108,1,0.995,0.97637,0.19506,0.1787,0.61088,0.000726312,0.000726312,0.000726312
59,16221.6,0.12992,0.40956,0.8965,0.95512,1,0.995,0.97861,0.15785,0.19387,0.577,0.000709809,0.000709809,0.000709809
60,16494.8,0.13144,0.40265,0.89425,0.80015,0.98621,0.995,0.98131,0.18545,0.30076,0.63576,0.000693305,0.000693305,0.000693305
61,16768.5,0.13148,0.39363,0.89566,0.94072,1,0.995,0.97721,0.18844,0.21899,0.61416,0.000676802,0.000676802,0.000676802
